,title,edited title,first_release_year,AS_releases,AU_releases,EU_releases,JP_releases,KO_releases,US_releases,n_releases,Australia,France,Germany,India,Ireland,Italy,Japan,Malaysia,Netherlands,People's Republic of China,Philippines,Poland,Russia,Spain,Sweden,Taiwan,United Kingdom,United States of America,Non-Japan based companies,n_companies,plattforms,unknown,id,slug,title
36,King's Field,King's Field,1994,,,,4,,,4,,,,,,,2,,,,,,,,,,,,0,2,"Sony PlayStation,Sony PlayStation 2,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,49822,kings-field_,King's Field
38,King's Field II,King's Field II,1995,,,1,5,,2,8,,,,,,,2,,,,,,,,,,1,,1,3,"Sony PlayStation,Sony PlayStation 2,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,3691,kings-field,King's Field
39,King's Field III,King's Field III,1996,,,,6,,2,8,,,,,,,2,,,,,,,,,,,,0,2,"Sony PlayStation,Sony PlayStation 2,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,6059,kings-field-ii,King's Field II
4,Armored Core,Armored Core,1997,,,1,4,,3,8,,,,,,,1,,,,,,,,,,1,3,4,5,"Sony PlayStation,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,6963,armored-core,Armored Core
2,ARMORED CORE PROJECT PHANTASMA,ARMORED CORE PROJECT PHANTASMA,1997,,,,4,,1,5,,,,,,,2,,,,,,,,,,,,0,2,"Sony PlayStation,Sony PlayStation 3,Sony PlayStation Vita",,6964,armored-core-project-phantasma,Armored Core: Project Phantasma
28,Echo Night,Echo Night,1998,,,,4,,2,6,,,,,,,1,,,,,,,,,,,1,1,2,"Sony PlayStation,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,40472,echo-night,Echo Night
52,Shadow Tower,Shadow Tower,1998,,,,2,,2,4,,,,,,,1,,,,,,,,,,,1,1,2,"Sony PlayStation,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,49727,shadow-tower,Shadow Tower
1,ARMORED CORE MASTER OF ARENA,ARMORED CORE MASTER OF ARENA,1999,,,,4,,1,5,,,,,,,1,,,,,,,,,,,1,1,2,"Sony PlayStation,Sony PlayStation 3,Sony PlayStation Vita",,6965,armored-core-master-of-arena,Armored Core: Master of Arena
27,ECHO NIGHT＃2 眠りの支配者,ECHO NIGHT 2,1999,,,,3,,1,4,,,,,,,1,,,,,,,,,,,,0,1,"Sony PlayStation,Sony PlayStation 3,Sony PlayStation Portable,Sony PlayStation Vita",,40910,echo-night2-nemuri-no-shihaisha,Echo Night#2: Nemuri no Shihaisha
32,FRAME GRIDE,FRAME GRIDE,1999,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,
49,SPRIGGAN -LUNAR VERSE-,SPRIGGAN -LUNAR VERSE-,1999,,,,1,,,1,,,,,,,,,,,,,,,,,,,0,0,,,,,
5,Armored Core 2,Armored Core 2,2000,,,1,2,,1,4,,1,,,,,1,,,,,,,,,,,1,2,3,Sony PlayStation 2,,6996,armored-core-2,Armored Core 2
31,EverGrace,EverGrace,2000,,,1,1,,1,3,,1,,,,,1,,,,,,,,,,,2,3,4,Sony PlayStation 2,,15940,evergrace,EverGrace
61,The Adventures of Cookie & Cream,The Adventures of Cookie & Cream,2000,,,1,1,,2,4,,,,,,,1,,,,,,,,,,1,2,3,4,"Sony PlayStation 2,Sony PlayStation 3",,4706,adventures-of-cookie-cream,The Adventures of Cookie & Cream
6,Armored Core 2: Another Age,Armored Core 2: Another Age,2001,,,1,2,,1,4,,,,,,,1,,,,,,,,,,,2,2,3,Sony PlayStation 2,,9225,armored-core-2-another-age,Armored Core 2: Another Age
37,King's Field 4,King's Field 4,2001,,,1,2,,1,4,,,,,,,1,,,,,,,,,,,3,3,4,"Sony PlayStation,Sony PlayStation 2",,23218,kings-field-the-ancient-city,King's Field: The Ancient City
