Source,Target,Type,Id,Weight
1277__Published by,2334__Published by,Undirected,0,1
1277__Published by,968__Published by,Undirected,1,1
1277__Published by,1865__Published by,Undirected,2,1
1277__Published by,3939__Package Design by,Undirected,3,1
1277__Published by,3939__Manual by,Undirected,4,1
1277__Published by,2348__Published by,Undirected,5,2
1277__Published by,2348__Developed by,Undirected,6,2
12__Published by,3967__Published by,Undirected,7,1
12__Published by,2348__Published by,Undirected,8,1
12__Published by,2348__Developed by,Undirected,9,1
25__Published by,4569__Middleware by,Undirected,10,1
25__Published by,126__Distributed by,Undirected,11,1
25__Published by,16383__Voice Recording by,Undirected,12,1
25__Published by,6814__Published by,Undirected,13,3
25__Published by,4198__Distributed by,Undirected,14,3
25__Published by,5801__Localized by,Undirected,15,2
25__Published by,2818__Package Design by,Undirected,16,3
25__Published by,6816__Distributed by,Undirected,17,2
25__Published by,12690__Testing by,Undirected,18,1
25__Published by,12690__Localized by,Undirected,19,1
25__Published by,11146__Motion Capture by,Undirected,20,1
25__Published by,6925__Cutscenes by,Undirected,21,2
25__Published by,2348__Published by,Undirected,22,5
25__Published by,2348__Developed by,Undirected,23,3
25__Published by,4920__Sound Engine by,Undirected,24,1
25__Published by,13792__Ported by,Undirected,25,1
25__Published by,15563__Additional Graphics by,Undirected,26,1
25__Published by,3663__Developed by,Undirected,27,2
25__Published by,19477__Cutscenes by,Undirected,28,2
25__Published by,17555__Motion Capture by,Undirected,29,1
25__Published by,21684__Ported by,Undirected,30,1
25__Published by,5599__Cutscenes by,Undirected,31,1
25__Published by,5624__Middleware by,Undirected,32,1
25__Published by,20311__Additional Graphics by,Undirected,33,1
25__Published by,14220__Additional Graphics by,Undirected,34,1
25__Published by,16418__Fonts by,Undirected,35,1
25__Published by,16975__Localized by,Undirected,36,1
25__Published by,19296__Additional Music by,Undirected,37,1
25__Published by,23228__Middleware by,Undirected,38,1
25__Published by,21085__Motion Capture by,Undirected,39,1
25__Published by,26878__Localized by,Undirected,40,1
25__Published by,26878__Additional Graphics by,Undirected,41,1
25__Published by,23178__Additional Graphics by,Undirected,42,1
25__Published by,26928__Additional Graphics by,Undirected,43,1
25__Published by,27478__Additional Graphics by,Undirected,44,1
25__Published by,26767__Voice Recording by,Undirected,45,1
25__Published by,34369__Localized by,Undirected,46,1
25__Published by,36273__Contributions by,Undirected,47,1
25__Published by,36268__Voice Recording by,Undirected,48,1
25__Published by,36271__Voice Production by,Undirected,49,1
25__Published by,36271__Casting by,Undirected,50,1
25__Published by,36269__Additional Sound by,Undirected,51,1
25__Published by,36267__Additional Sound by,Undirected,52,1
25__Published by,36266__Voice Recording by,Undirected,53,1
25__Published by,36265__Additional Music by,Undirected,54,1
25__Published by,36264__Additional Graphics by,Undirected,55,1
25__Published by,36263__Contributions by,Undirected,56,1
3967__Published by,2747__Published by,Undirected,57,2
3967__Published by,5036__Distributed by,Undirected,58,1
3967__Published by,2348__Published by,Undirected,59,3
3967__Published by,2348__Developed by,Undirected,60,3
3967__Published by,13792__Ported by,Undirected,61,1
3967__Published by,3663__Developed by,Undirected,62,2
3967__Published by,21684__Ported by,Undirected,63,1
2747__Published by,5036__Distributed by,Undirected,64,1
2747__Published by,2348__Published by,Undirected,65,3
2747__Published by,2348__Developed by,Undirected,66,3
2747__Published by,13792__Ported by,Undirected,67,1
2747__Published by,3663__Developed by,Undirected,68,1
2747__Published by,21684__Ported by,Undirected,69,1
