Id,Label,d4,d3,d2,d0,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,eigencentrality,country_color,color
1277__Published by,Sony Computer Entertainment Europe Ltd.(Published by),2,Published by,Sony Computer Entertainment Europe Ltd.,United Kingdom,7,9,2,0.511401,0.522293,1.333333,0.065953,"#4169e1","#4169e1"
12__Published by,SEGA Corporation(Published by),1,Published by,SEGA Corporation,Japan,3,3,2,0.504823,0.509554,0,0.051869,"#ff0000","#ff0000"
25__Published by,"Activision Publishing, Inc.(Published by)",5,Published by,"Activision Publishing, Inc.",United States of America,47,64,2,0.588015,0.649682,162.668048,0.582424,"#708090","#708090"
3967__Published by,SEGA Europe Ltd.(Published by),4,Published by,SEGA Europe Ltd.,United Kingdom,8,14,2,0.513072,0.525478,1.666667,0.063175,"#4169e1","#4169e1"
2747__Published by,"SEGA of America, Inc.(Published by)",3,Published by,"SEGA of America, Inc.",United States of America,7,12,2,0.511401,0.522293,0,0.061637,"#708090","#708090"
2779__Published by,"Metro3D, Inc.(Published by)",3,Published by,"Metro3D, Inc.",United States of America,5,11,2,0.508091,0.515924,0.25,0.056001,"#708090","#708090"
1518__Published by,Ubi Soft Entertainment Software(Published by),4,Published by,Ubi Soft Entertainment Software,France,14,22,2,0.523333,0.544586,8.666667,0.07619,"#7cfc00","#7cfc00"
4937__Distributed by,Proein S.L.(Distributed by),1,Distributed by,Proein S.L.,Spain,4,4,2,0.506452,0.512739,0,0.05438,"#808000","#808000"
4569__Middleware by,"RAD Game Tools, Inc.(Middleware by)",2,Middleware by,"RAD Game Tools, Inc.",United States of America,53,55,2,0.601533,0.66879,164.641444,0.653126,"#708090","#708090"
126__Distributed by,Valve Corporation(Distributed by),6,Distributed by,Valve Corporation,United States of America,60,78,2,0.61811,0.691083,115.324598,0.763713,"#708090","#708090"
5013__Distributed by,Nobilis France(Distributed by),1,Distributed by,Nobilis France,France,4,4,2,0.506452,0.512739,0,0.05438,"#7cfc00","#7cfc00"
7988__Published by,BANDAI NAMCO Games Inc.(Published by),4,Published by,BANDAI NAMCO Games Inc.,Japan,32,41,2,0.556738,0.601911,22.127732,0.384652,"#ff0000","#ff0000"
6034__Published by,Nintendo of America Inc.(Published by),1,Published by,Nintendo of America Inc.,United States of America,5,5,3,0.464497,0.485138,0,0.027879,"#708090","#708090"
6042__Distributed by,Nintendo UK Entertainment Limited(Distributed by),1,Distributed by,Nintendo UK Entertainment Limited,United Kingdom,5,5,3,0.464497,0.485138,0,0.027879,"#4169e1","#4169e1"
6063__Published by,Nintendo of Europe GmbH(Published by),1,Published by,Nintendo of Europe GmbH,Germany,5,5,3,0.464497,0.485138,0,0.027879,"#008000","#008000"
6066__Distributed by,Nortec Multimedia A.E.(Distributed by),1,Distributed by,Nortec Multimedia A.E.,Greece,5,5,3,0.464497,0.485138,0,0.027879,"#d2b48c","#d2b48c"
